CustomerID,Recency,Frequency,Monetary,Cluster
12346.0,325,1,0.0,0
12747.0,1,11,0.0,1
12748.0,0,210,0.0,2
12749.0,3,5,0.0,1
12820.0,2,4,0.0,1
12821.0,213,1,0.0,0
12822.0,70,2,0.0,1
12823.0,74,5,0.0,1
12824.0,59,1,0.0,1
12826.0,2,7,0.0,1
12827.0,5,3,0.0,1
12828.0,2,6,0.0,1
12829.0,336,2,0.0,0
12830.0,37,6,0.0,1
12831.0,261,1,0.0,0
12832.0,31,2,0.0,1
12833.0,144,1,0.0,0
12834.0,282,1,0.0,0
12836.0,58,4,0.0,1
12837.0,172,1,0.0,0
12838.0,33,2,0.0,1
12839.0,2,14,0.0,3
12840.0,143,4,0.0,1
12841.0,4,25,0.0,3
12842.0,69,2,0.0,1
12843.0,65,8,0.0,1
12844.0,28,2,0.0,1
12845.0,266,4,0.0,0
12847.0,21,1,0.0,1
12849.0,30,2,0.0,1
12851.0,96,1,0.0,1
12852.0,294,1,0.0,0
12853.0,134,6,0.0,1
12854.0,78,3,0.0,1
12855.0,372,1,0.0,0
12856.0,7,6,0.0,1
12857.0,210,2,0.0,0
12863.0,51,1,0.0,1
12864.0,137,1,0.0,1
12867.0,25,7,0.0,1
12868.0,185,6,0.0,0
12871.0,83,2,0.0,1
12872.0,326,2,0.0,0
12873.0,281,1,0.0,0
12875.0,142,2,0.0,1
12877.0,3,12,0.0,1
12878.0,235,2,0.0,0
12879.0,44,3,0.0,1
12881.0,275,1,0.0,0
12882.0,8,2,0.0,1
12883.0,24,4,0.0,1
12884.0,87,1,0.0,1
12885.0,62,3,0.0,1
12886.0,67,2,0.0,1
12888.0,213,2,0.0,0
12890.0,23,1,0.0,1
12891.0,185,3,0.0,0
12893.0,30,1,0.0,1
12895.0,41,2,0.0,1
12897.0,204,2,0.0,0
12901.0,8,28,0.0,3
12902.0,264,1,0.0,0
12904.0,17,2,0.0,1
12906.0,11,5,0.0,1
12908.0,175,2,0.0,0
12909.0,39,5,0.0,1
12910.0,22,8,0.0,1
12912.0,2,5,0.0,1
12913.0,4,5,0.0,1
12915.0,148,2,0.0,0
12916.0,138,4,0.0,1
12917.0,127,1,0.0,1
12919.0,7,6,0.0,1
12920.0,16,1,0.0,1
12921.0,8,37,0.0,3
12922.0,160,1,0.0,0
12923.0,63,1,0.0,1
12924.0,87,4,0.0,1
12925.0,4,2,0.0,1
12928.0,34,5,0.0,1
12929.0,311,1,0.0,0
12930.0,77,2,0.0,1
12931.0,21,15,0.0,3
12933.0,23,3,0.0,1
12935.0,1,7,0.0,1
12936.0,16,4,0.0,1
12937.0,14,4,0.0,1
12938.0,25,1,0.0,1
12939.0,63,8,0.0,1
12940.0,54,2,0.0,1
12942.0,130,3,0.0,1
12944.0,35,2,0.0,1
12945.0,287,1,0.0,0
12947.0,143,6,0.0,1
12948.0,15,7,0.0,1
12949.0,30,8,0.0,1
12950.0,1,3,0.0,1
12951.0,8,6,0.0,1
12952.0,5,4,0.0,1
12953.0,9,1,0.0,1
12955.0,0,11,0.0,1
12956.0,305,1,0.0,0
12957.0,9,8,0.0,1
12962.0,6,2,0.0,1
12963.0,7,8,0.0,1
12965.0,88,1,0.0,1
12966.0,9,1,0.0,1
12967.0,357,2,0.0,0
12968.0,111,1,0.0,1
12970.0,6,4,0.0,1
12971.0,3,86,0.0,2
12974.0,197,1,0.0,0
12976.0,211,1,0.0,0
12977.0,155,1,0.0,0
12980.0,157,9,0.0,0
12981.0,29,2,0.0,1
12982.0,242,1,0.0,0
12984.0,18,1,0.0,1
12985.0,0,2,0.0,1
12987.0,73,2,0.0,1
12988.0,291,1,0.0,0
12989.0,2,15,0.0,3
12990.0,30,3,0.0,1
12991.0,22,2,0.0,1
12993.0,22,4,0.0,1
12994.0,3,3,0.0,1
12995.0,84,1,0.0,1
12997.0,21,4,0.0,1
12999.0,195,3,0.0,0
13000.0,106,3,0.0,1
13001.0,3,13,0.0,3
13002.0,317,1,0.0,0
13003.0,105,3,0.0,1
13004.0,11,18,0.0,3
13005.0,173,2,0.0,0
13006.0,55,1,0.0,1
13008.0,322,1,0.0,0
13011.0,371,1,0.0,0
13012.0,8,8,0.0,1
13013.0,0,13,0.0,3
13014.0,10,10,0.0,1
13015.0,52,5,0.0,1
13016.0,72,3,0.0,1
13017.0,6,1,0.0,1
13018.0,15,28,0.0,3
13021.0,3,9,0.0,1
13023.0,63,2,0.0,1
13026.0,0,5,0.0,1
13027.0,113,6,0.0,1
13028.0,22,2,0.0,1
13029.0,30,3,0.0,1
13030.0,10,2,0.0,1
13032.0,51,2,0.0,1
13033.0,356,1,0.0,0
13034.0,54,2,0.0,1
13035.0,73,2,0.0,1
13037.0,137,3,0.0,1
13038.0,79,3,0.0,1
13040.0,8,2,0.0,1
13043.0,272,1,0.0,0
13044.0,290,1,0.0,0
13045.0,98,1,0.0,1
13046.0,30,2,0.0,1
13047.0,31,10,0.0,1
13048.0,13,4,0.0,1
13049.0,63,2,0.0,1
13050.0,14,17,0.0,3
13052.0,211,1,0.0,0
13055.0,77,3,0.0,1
13058.0,24,3,0.0,1
13059.0,249,1,0.0,0
13060.0,253,1,0.0,0
13061.0,71,1,0.0,1
13062.0,190,1,0.0,0
13064.0,12,4,0.0,1
13065.0,372,1,0.0,0
13066.0,23,2,0.0,1
13067.0,81,1,0.0,1
13068.0,9,2,0.0,1
13069.0,0,24,0.0,3
13070.0,191,1,0.0,0
13072.0,266,1,0.0,0
13075.0,129,1,0.0,1
13077.0,0,4,0.0,1
13078.0,2,26,0.0,3
13079.0,3,5,0.0,1
13080.0,178,1,0.0,0
13081.0,11,11,0.0,1
13082.0,125,9,0.0,1
13083.0,3,2,0.0,1
13085.0,157,2,0.0,0
13089.0,2,97,0.0,2
13090.0,8,14,0.0,3
13091.0,27,1,0.0,1
13092.0,70,5,0.0,1
13093.0,275,8,0.0,0
13094.0,20,12,0.0,1
13095.0,70,1,0.0,1
13097.0,32,10,0.0,1
13098.0,0,28,0.0,3
13099.0,98,1,0.0,1
13101.0,233,1,0.0,0
13102.0,0,24,0.0,3
13103.0,39,1,0.0,1
13104.0,2,6,0.0,1
13106.0,132,1,0.0,1
13107.0,43,4,0.0,1
13108.0,372,1,0.0,0
13109.0,59,2,0.0,1
13110.0,30,7,0.0,1
13113.0,0,24,0.0,3
13115.0,11,4,0.0,1
13116.0,137,1,0.0,1
13117.0,21,8,0.0,1
13118.0,19,5,0.0,1
13120.0,238,1,0.0,0
13121.0,268,1,0.0,0
13122.0,93,2,0.0,1
13124.0,89,3,0.0,1
13126.0,4,8,0.0,1
13127.0,77,1,0.0,1
13130.0,93,1,0.0,1
13131.0,22,3,0.0,1
13132.0,261,1,0.0,0
13133.0,273,2,0.0,0
13134.0,85,4,0.0,1
13135.0,196,1,0.0,0
13136.0,55,5,0.0,1
13137.0,10,8,0.0,1
13138.0,21,6,0.0,1
13139.0,15,7,0.0,1
13140.0,107,3,0.0,1
13141.0,84,5,0.0,1
13142.0,18,1,0.0,1
13144.0,332,1,0.0,0
13145.0,39,4,0.0,1
13146.0,25,1,0.0,1
13147.0,9,4,0.0,1
13148.0,28,12,0.0,1
13149.0,13,4,0.0,1
13151.0,295,1,0.0,0
13153.0,5,1,0.0,1
13155.0,32,4,0.0,1
13157.0,48,4,0.0,1
13158.0,94,4,0.0,1
13159.0,8,4,0.0,1
13160.0,21,1,0.0,1
13161.0,312,1,0.0,0
13162.0,121,4,0.0,1
13165.0,45,2,0.0,1
13166.0,282,1,0.0,0
13167.0,18,4,0.0,1
13168.0,35,4,0.0,1
13169.0,63,2,0.0,1
13170.0,26,1,0.0,1
13171.0,21,3,0.0,1
13173.0,3,2,0.0,1
13174.0,15,3,0.0,1
13176.0,45,1,0.0,1
13177.0,64,1,0.0,1
